l.p.: 5
N = 10
b:
 -630	  645	 -291	  693	 -811	 -590	 -246	 -286	 -854	 -153	
A:
	  346	 -232	 -382	  967	 -121	 -627	  406	 -718	  308	 -823
	  629	 -590	 -774	  196	  901	  628	  829	   32	  213	 -963
	  535	 -834	 -137	  581	 -862	   41	 -727	 -411	 -224	 -795
	 -915	 -739	 -962	  128	  700	 -735	  657	  810	 -114	  -31
	   -8	 -863	 -650	   25	  596	  -50	  659	  604	  602	 -528
	  327	   50	 -877	 -567	  838	   14	  893	 -169	  660	  612
	 -328	  865	 -202	 -779	  590	 -550	  831	 -863	 -255	 -157
	  687	 -849	  185	   85	 -610	 -381	 -862	  889	 -697	  897
	  880	 -637	 -612	 -131	  883	  553	 -496	 -333	 -563	   56
	  161	  280	  543	 -582	  328	  799	  382	 -551	  112	  785
